Theseus,ID,ID,ID,,,,Line
Integrated,Theseus_,0057,Theseus_0057,,,,Ready!
Integrated,Theseus_,0058,Theseus_0058,,,,Alistar!
Integrated,Theseus_,0059,Theseus_0059,,,,Bull!
Integrated,Theseus_,0060,Theseus_0060,,,,Haha!
Integrated,Theseus_,0061,Theseus_0061,,,,Do it!
Integrated,Theseus_,0062,Theseus_0062,,,,Now!
Integrated,Theseus_,0063,Theseus_0063,,,,Together!
Integrated,Theseus_,0064,Theseus_0064,,,,Attack!
Integrated,Theseus_,0065,Theseus_0065,,,,Huh!
Integrated,Theseus_,0066,Theseus_0066,,,,Go!
Integrated,Theseus_,0067,Theseus_0067,,,,Show him!
Integrated,Theseus_,0068,Theseus_0068,,,,Take this!
Integrated,Theseus_,0069,Theseus_0069,,,,Take this!!
Integrated,Theseus_,0070,Theseus_0070,,,,Take that!
Integrated,Theseus_,0071,Theseus_0071,,,,Die!
Integrated,Theseus_,0072,Theseus_0072,,,,<Laugh>
Integrated,Theseus_,0073,Theseus_0073,,,,<Laugh>
Integrated,Theseus_,0074,Theseus_0074,,,,So much raw potential...!
Integrated,Theseus_,0075,Theseus_0075,,,,Let me show you!
Integrated,Theseus_,0076,Theseus_0076,,,,Begone!!
Integrated,Theseus_,0077,Theseus_0077,,,,"Now, whelp...!"
Integrated,Theseus_,0078,Theseus_0078,,,,Ready yourself!
Integrated,Theseus_,0079,Theseus_0079,,,,Prepare yourself!
Integrated,Theseus_,0080,Theseus_0080,,,,No holding back!
Integrated,Theseus_,0081,Theseus_0081,,,,So undeveloped...
Integrated,Theseus_,0082,Theseus_0082,,,,Are you prepared?
Integrated,Theseus_,0083,Theseus_0083,,,,Prepare!
Integrated,Theseus_,0084,Theseus_0084,,,,"Here, whelp!"
Integrated,Theseus_,0085,Theseus_0085,,,,"Haha, I'm simply obsessed!"
Integrated,Theseus_,0086,Theseus_0086,,,,Here!
Integrated,Theseus_,0087,Theseus_0087,,,,Catch!
Integrated,Theseus_,0088,Theseus_0088,,,,"Spirits, let us educate this whelp!"
Integrated,Theseus_,0089,Theseus_0089,,,,"Spirits, I have one ripe for the plucking for you!"
Integrated,Theseus_,0090,Theseus_0090,,,,"Gods of the Spirit Realm, help me show him his true potential!"
Integrated,Theseus_,0091,Theseus_0091,,,,"Spirits, lend me your strength!"
Integrated,Theseus_,0092,Theseus_0092,,,,I will use the power of the Spirits!
Integrated,Theseus_,0093,Theseus_0093,,,,By the power of the Spirit Realm!!
Integrated,Theseus_,0094,Theseus_0094,,,,Witness my full potential!
Integrated,Theseus_,0095,Theseus_0095,,,,Unbridled spiritual power...!
Integrated,Theseus_,0096,Theseus_0096,,,,"Lord Volibear, I call upon your might!"
Integrated,Theseus_,0097,Theseus_0097,,,,"Lord Volibear, give me your strength!"
Integrated,Theseus_,0098,Theseus_0098,,,,"Lady Nami, here!"
Integrated,Theseus_,0099,Theseus_0099,,,,"Lady Nami, now!"
Integrated,Theseus_,0100,Theseus_0100,,,,"Soraka, protect me!"
Integrated,Theseus_,0101,Theseus_0101,,,,Soraka! Help me!
Integrated,Theseus_,0102,Theseus_0102,,,,"Diana, let us hunt together!"
Integrated,Theseus_,0103,Theseus_0103,,,,"Diana, make my aim true!"
Integrated,Theseus_,0104,Theseus_0104,,,,Darius! I have a delicious war down here for you!
Integrated,Theseus_,0105,Theseus_0105,,,,"Darius, come fight!"
Integrated,Theseus_,0106,Theseus_0106,,,,"Teemo! Come, you little trickster..."
Integrated,Theseus_,0107,Theseus_0107,,,,Teemo I have a job for you!
Integrated,Theseus_,0108,Theseus_0108,,,,"Lady Ahri, your charms..."
Integrated,Theseus_,0109,Theseus_0109,,,,"A wayward soul for you to guide, Lady Ahri!"
Integrated,Theseus_,0110,Theseus_0110,,,,"Hmm, indeed!"
Integrated,Theseus_,0111,Theseus_0111,,,,Still alive eh?
Integrated,Theseus_,0112,Theseus_0112,,,,Let's finish this.
Integrated,Theseus_,0113,Theseus_0113,,,,I'll get you yet.
Integrated,Theseus_,0114,Theseus_0114,,,,We're not finished!
Integrated,Theseus_,0115,Theseus_0115,,,,Oh we're not finished.
Integrated,Theseus_,0116,Theseus_0116,,,,Stand and fight!
Integrated,Theseus_,0117,Theseus_0117,,,,Prepare to die!
Integrated,Theseus_,0118,Theseus_0118,,,,Return to hell!
Integrated,Theseus_,0119,Theseus_0119,,,,You should not be here!
Integrated,Theseus_,0120,Theseus_0120,,,,You never learn!
Integrated,Theseus_,0121,Theseus_0121,,,,You cannot prevail!
Integrated,Theseus_,0122,Theseus_0122,,,,Do you see?
Integrated,Theseus_,0123,Theseus_0123,,,,Stubborn fool!
Integrated,Theseus_,0124,Theseus_0124,,,,Give up!
Integrated,Theseus_,0125,Theseus_0125,,,,No mercy for a half-breed!
Integrated,Theseus_,0126,Theseus_0126,,,,Die with dignity!
Integrated,Theseus_,0127,Theseus_0127,,,,What?
Integrated,Theseus_,0128,Theseus_0128,,,,Wha--?
Integrated,Theseus_,0129,Theseus_0129,,,,How?
Integrated,Theseus_,0130,Theseus_0130,,,,How is this--?
Integrated,Theseus_,0131,Theseus_0131,,,,So...!
Integrated,Theseus_,0132,Theseus_0132,,,,Im...possible...
Integrated,Theseus_,0133,Theseus_0133,,,,Hrrngh!
Integrated,Theseus_,0134,Theseus_0134,,,,You cheat!
Integrated,Theseus_,0135,Theseus_0135,,,,Deceiver!
Integrated,Theseus_,0136,Theseus_0136,,,,Trickery!
Integrated,Theseus_,0137,Theseus_0137,,,,Treachery!
Integrated,Theseus_,0138,Theseus_0138,,,,Madness!
Integrated,Theseus_,0139,Theseus_0139,,,,Liar!!
Integrated,Theseus_,0140,Theseus_0140,,,,What's this?
Integrated,Theseus_,0141,Theseus_0141,,,,"Suffer, whelp."
Integrated,Theseus_,0142,Theseus_0142,,,,"Haha, take that!"
Integrated,Theseus_,0143,Theseus_0143,,,,There!
Integrated,Theseus_,0144,Theseus_0144,,,,Ha-hah!
Integrated,Theseus_,0145,Theseus_0145,,,,Hah!
Integrated,Theseus_,0146,Theseus_0146,,,,I shall scour you from this place.
Integrated,Theseus_,0147,Theseus_0147,,,,You see?
Integrated,Theseus_,0148,Theseus_0148,,,,Wide open.
Integrated,Theseus_,0149,Theseus_0149,,,,Too slow!
Integrated,Theseus_,0150,Theseus_0150,,,,Got you!
Integrated,Theseus_,0151,Theseus_0151,,,,How's that?
Integrated,Theseus_,0152,Theseus_0152,,,,Undisciplined brute!
Integrated,Theseus_,0153,Theseus_0153,,,,Whelp!
Integrated,Theseus_,0154,Theseus_0154,,,,What a disappointment!
Integrated,Theseus_,0155,Theseus_0155,,,,Back!
Integrated,Theseus_,0156,Theseus_0156,,,,"Back, whelp!"
Integrated,Theseus_,0157,Theseus_0157,,,,Face me!
Integrated,Theseus_,0158,Theseus_0158,,,,Fall!
Integrated,Theseus_,0159,Theseus_0159,,,,Begone!
Integrated,Theseus_,0160,Theseus_0160,,,,Have at you!
Integrated,Theseus_,0161,Theseus_0161,,,,On your guard!
Integrated,Theseus_,0162,Theseus_0162,,,,I'll skin you alive!
Integrated,Theseus_,0163,Theseus_0163,,,,No...!
Integrated,Theseus_,0164,Theseus_0164,,,,No!!
Integrated,Theseus_,0165,Theseus_0165,,,,Curse you!
Integrated,Theseus_,0166,Theseus_0166,,,,You hit me!
Integrated,Theseus_,0167,Theseus_0167,,,,Huh!
Integrated,Theseus_,0168,Theseus_0168,,,,Well!
Integrated,Theseus_,0169,Theseus_0169,,,,A clean hit. Ha!
Integrated,Theseus_,0170,Theseus_0170,,,,A solid hit. There may be hope for you yet!
Integrated,Theseus_,0171,Theseus_0171,,,,You dare?
Integrated,Theseus_,0172,Theseus_0172,,,,Pff.
Integrated,Theseus_,0173,Theseus_0173,,,,Tsch.
Integrated,Theseus_,0174,Theseus_0174,,,,Bah.
Integrated,Theseus_,0175,Theseus_0175,,,,"Gah, you."
Integrated,Theseus_,0176,Theseus_0176,,,,Nrghh.
Integrated,Theseus_,0177,Theseus_0177,,,,You...!
Integrated,Theseus_,0178,Theseus_0178,,,,"That's it, whelp!"
Integrated,Theseus_,0179,Theseus_0179,,,,Again!
Integrated,Theseus_,0180,Theseus_0180,,,,The whelp has fangs!
Integrated,Theseus_,0181,Theseus_0181,,,,"Rngh, you whelp!"
Integrated,Theseus_,0182,Theseus_0182,,,,Bastard!
